Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Steps (count)
11/28/18 0:00,11/29/18 0:00,57.78656826,0.929998972,0,1884.621281
11/29/18 0:00,11/30/18 0:00,509.1524317,4.640739086,18,8952.978943
11/30/18 0:00,12/1/18 0:00,598.692,6.053471511,12,11665
12/1/18 0:00,12/2/18 0:00,660.8560478,6.796771258,6,12117
12/2/18 0:00,12/3/18 0:00,526.9169522,4.611580808,1,8924.766717
12/3/18 0:00,12/4/18 0:00,549.555,3.961053787,2,7205
12/4/18 0:00,12/5/18 0:00,669.604,6.597521653,5,12483.39723
12/5/18 0:00,12/6/18 0:00,557.1042267,4.909418579,6,9257.9357
12/6/18 0:00,12/7/18 0:00,997.1375975,7.504792709,13,14208
12/7/18 0:00,12/8/18 0:00,532.6291758,4.274131206,8,8269.46084
12/8/18 0:00,12/9/18 0:00,775.4614921,6.457724209,0,8834.269279
12/9/18 0:00,12/10/18 0:00,340.8510088,2.806838623,0,5265
12/10/18 0:00,12/11/18 0:00,982.4457769,8.808678727,8,13170
12/11/18 0:00,12/12/18 0:00,499.820923,4.026818045,8,7567
12/12/18 0:00,12/13/18 0:00,555.9943778,4.977676188,3,9247
12/13/18 0:00,12/14/18 0:00,392.8344214,3.47045462,0,6331
12/14/18 0:00,12/15/18 0:00,448.0897156,2.885332833,5,5388.893036
12/15/18 0:00,12/16/18 0:00,1090.938542,11.20563375,27,21223.71518
12/16/18 0:00,12/17/18 0:00,1029.00611,8.843438546,79,16376
12/17/18 0:00,12/18/18 0:00,363.7849384,2.498693087,7,4820
12/18/18 0:00,12/19/18 0:00,324.7936941,1.907144426,8,3662
12/19/18 0:00,12/20/18 0:00,796.274,6.83834099,4,9592
12/20/18 0:00,12/21/18 0:00,318.853,1.589470242,7,3023
12/21/18 0:00,12/22/18 0:00,407.5001665,3.128806578,5,5381
12/22/18 0:00,12/23/18 0:00,435.1952819,2.232078713,8,4203.768465
12/23/18 0:00,12/24/18 0:00,353.4515516,2.40012023,8,4286
12/24/18 0:00,12/25/18 0:00,382.4865037,2.333732688,2,4182
12/25/18 0:00,12/26/18 0:00,447.7854963,3.170580387,13,6054
12/26/18 0:00,12/27/18 0:00,311.253609,1.7301747,5,3175
12/27/18 0:00,12/28/18 0:00,517.329391,5.117346955,10,9585.115923
12/28/18 0:00,12/29/18 0:00,258.542,1.00183717,9,1866
12/29/18 0:00,12/30/18 0:00,537.8130016,3.48722705,6,6570.423599
12/30/18 0:00,12/31/18 0:00,316.5359984,1.213602815,4,2284.960354
12/31/18 0:00,1/1/19 0:00,716.655255,6.26427953,7,11588.27157
1/1/19 0:00,1/2/19 0:00,236.447745,0.802238724,4,1552.72843
1/2/19 0:00,1/3/19 0:00,356.548,3.067922819,6,5984
1/3/19 0:00,1/4/19 0:00,429.3385569,4.010534823,11,7658
1/4/19 0:00,1/5/19 0:00,1065.548443,9.678730857,0,14442
1/5/19 0:00,1/6/19 0:00,441.870475,3.529448601,5,6127
1/6/19 0:00,1/7/19 0:00,1021.671525,9.048971112,1,13054.57504
1/7/19 0:00,1/8/19 0:00,556.9627248,5.222291203,10,9181.422543
1/8/19 0:00,1/9/19 0:00,711.7829278,5.899919749,12,10194.57746
1/9/19 0:00,1/10/19 0:00,959.9137114,7.64508922,11,12984
